Id_comanda,Niu_client,Niu_repartidor,Facultad_destino,Facultat_Origen,Precio,Tipo,Articulo,fecha_inicio,fecha_entrega,Estado
102,1,2,veterinaria,medicina,6.08,Comida,Ensalada de frutas,2023-03-20 11:49:09,2023-03-20 14:20:23,activo
103,1,2,economia,medicina,20.28,Comida,Tostadas con aguacate,2023-04-03 05:55:23,2023-04-03 05:55:23,espera
104,1,2,medicina,doctorado,0.0,Biblioteca,Enciclopedia,2023-11-03 05:43:42,2023-11-03 09:01:35,espera
105,1,2,ingenieria,traduccion,10.51,Comida,Burritos,2023-02-10 10:33:01,2023-02-10 10:33:01,finalizado
106,1,2,traduccion,veterinaria,12.94,Comida,Paella,2023-09-29 10:03:10,2023-09-29 10:31:05,finalizado
107,1,2,veterinaria,traduccion,6.81,Comida,Tacos,2023-05-15 07:29:02,2023-05-15 07:33:33,finalizado
108,1,2,economia,ciencias politicas,22.04,Comida,Crepes,2023-08-14 05:43:50,2023-08-14 07:26:43,activo
109,1,2,biociencias,ingenieria,6.83,Tienda,Auriculares inalámbricos,2023-10-05 08:50:26,2023-10-05 09:03:20,finalizado
110,1,2,veterinaria,comunicacion,13.94,Comida,Pollo a la parrilla,2023-10-10 03:38:37,2023-10-10 06:11:34,finalizado
111,1,2,biociencias,traduccion,10.97,Comida,Albóndigas,2023-08-23 02:53:55,2023-08-23 05:03:22,finalizado
112,1,2,derecho,ingenieria,0.0,Biblioteca,Libro,2023-06-19 04:54:23,2023-06-19 08:53:12,activo
113,1,2,economia,veterinaria,5.47,Tienda,Caja de herramientas,2023-03-03 16:00:44,2023-03-03 22:20:34,espera
114,1,2,derecho,doctorado,0.0,Biblioteca,Libro,2023-10-10 10:31:40,2023-10-10 15:13:54,finalizado
115,1,2,ciencias politicas,ciencias,24.95,Comida,Bagel,2023-03-11 06:01:07,2023-03-11 06:17:27,espera
116,1,2,economia,comunicacion,7.1,Tienda,Pinturas al óleo,2023-06-25 10:17:45,2023-06-25 21:14:38,activo
117,1,2,veterinaria,biociencias,22.21,Comida,Empanadas,2023-05-26 11:37:31,2023-05-26 12:30:36,espera
118,1,2,psicologia,doctorado,4.94,Tienda,Lámpara de escritorio,2023-11-24 09:20:06,2023-11-24 10:01:19,espera
119,1,2,derecho,veterinaria,17.65,Comida,Paella,2023-03-27 01:59:54,2023-03-27 01:59:54,activo
120,1,2,traduccion,filosofia,5.17,Comida,Sopa de miso,2023-08-13 01:22:48,2023-08-13 05:12:22,activo
121,1,2,ciencias,veterinaria,18.35,Comida,Paella,2023-05-25 05:37:30,2023-05-25 06:53:38,finalizado
122,1,2,ciencias,comunicacion,17.89,Comida,Ramen,2023-07-17 04:26:56,2023-07-17 05:18:25,espera
123,1,2,medicina,ingenieria,17.06,Comida,Tostadas con aguacate,2023-06-26 23:28:03,2023-06-27 00:04:50,espera
124,1,2,ciencias politicas,ingenieria,11.97,Comida,Tiramisú,2023-06-04 09:14:25,2023-06-04 09:14:25,espera
125,1,2,doctorado,doctorado,10.61,Comida,Chili con carne,2023-10-25 21:36:32,2023-10-25 21:39:14,finalizado
126,1,2,psicologia,veterinaria,0.0,Biblioteca,Libro,2023-08-21 10:33:37,2023-08-21 15:25:55,finalizado
127,1,2,comunicacion,veterinaria,14.7,Comida,Chili con carne,2023-05-26 17:28:39,2023-05-26 17:28:39,finalizado
128,1,2,economia,comunicacion,10.62,Comida,Calzone,2023-07-10 11:28:46,2023-07-10 13:18:04,espera
129,1,2,ingenieria,derecho,15.01,Comida,Paella,2023-10-13 22:19:29,2023-10-13 22:19:53,espera
130,1,2,comunicacion,economia,16.55,Comida,Chili con carne,2023-06-15 19:14:28,2023-06-15 20:43:43,finalizado
131,1,2,biociencias,filosofia,8.07,Tienda,Bolsa térmica,2023-10-31 18:07:54,2023-11-01 03:05:51,finalizado
132,1,2,doctorado,traduccion,0.0,Biblioteca,Guía,2023-01-12 00:12:04,2023-01-12 05:21:29,activo
133,1,2,doctorado,veterinaria,15.28,Comida,Tortilla española,2023-01-09 07:30:44,2023-01-09 07:38:20,finalizado
134,1,2,derecho,psicologia,9.83,Tienda,Posits,2023-06-30 21:20:10,2023-07-01 04:44:08,espera
135,1,2,doctorado,ciencias,12.57,Comida,Tortilla española,2023-07-22 14:54:04,2023-07-22 17:42:12,finalizado
136,1,2,derecho,comunicacion,0.0,Biblioteca,Artículo académico,2023-04-19 04:48:49,2023-04-19 07:59:05,activo
137,1,2,filosofia,ingenieria,22.85,Comida,Sushi,2023-06-18 23:31:32,2023-06-18 23:31:32,finalizado
138,1,2,ciencias politicas,biociencias,15.03,Comida,Pollo a la parrilla,2023-05-19 22:10:23,2023-05-20 00:43:34,finalizado
139,1,2,psicologia,ciencias,0.0,Biblioteca,Libro,2023-03-06 18:10:47,2023-03-06 18:25:13,finalizado
140,1,2,medicina,biociencias,5.54,Tienda,Cámara web,2023-11-15 10:22:32,2023-11-15 16:03:53,finalizado
141,1,2,ingenieria,doctorado,13.82,Comida,Sushi,2023-05-23 08:52:47,2023-05-23 09:23:27,finalizado
142,1,2,medicina,psicologia,5.82,Comida,Sopa de miso,2023-08-19 03:42:41,2023-08-19 03:42:41,finalizado
143,1,2,doctorado,psicologia,10.66,Comida,Empanadas,2023-09-09 15:39:17,2023-09-09 16:09:43,activo
144,1,2,doctorado,veterinaria,5.93,Tienda,Bolsa térmica,2023-03-26 11:53:42,2023-03-26 17:06:38,activo
145,1,2,ciencias politicas,ciencias,0.0,Biblioteca,Libro,2023-01-05 13:58:40,2023-01-05 18:09:36,finalizado
146,1,2,doctorado,ingenieria,0.0,Biblioteca,Revista,2023-04-01 18:05:51,2023-04-01 21:30:20,finalizado
147,1,2,veterinaria,comunicacion,0.0,Biblioteca,Libro,2023-10-03 00:21:32,2023-10-03 04:56:35,finalizado
148,1,2,ingenieria,ciencias,0.0,Biblioteca,Revista,2023-08-19 18:51:53,2023-08-19 23:01:33,finalizado
149,1,2,doctorado,medicina,12.08,Comida,Albóndigas,2023-06-06 16:35:28,2023-06-06 17:39:37,finalizado
150,1,2,economia,veterinaria,0.0,Biblioteca,Título de libro,2023-01-17 04:54:24,2023-01-17 06:07:08,activo
151,1,2,traduccion,traduccion,19.3,Comida,Tiramisú,2023-02-18 18:32:27,2023-02-18 18:32:27,activo
152,1,2,biociencias,traduccion,0.0,Biblioteca,Guía,2023-02-02 11:02:23,2023-02-02 15:20:23,activo
153,1,2,doctorado,traduccion,16.49,Comida,Hot dog,2023-05-02 00:03:58,2023-05-02 01:01:44,finalizado
154,1,2,biociencias,doctorado,8.73,Comida,Sushi,2023-10-27 15:14:01,2023-10-27 15:52:58,finalizado
155,1,2,ingenieria,economia,0.0,Biblioteca,Enciclopedia,2023-09-04 22:52:31,2023-09-05 00:13:22,espera
156,1,2,veterinaria,filosofia,10.41,Comida,Sándwich de pollo,2023-03-04 07:05:01,2023-03-04 07:09:46,activo
157,1,2,ingenieria,ciencias,19.26,Comida,Ramen,2023-08-26 00:46:27,2023-08-26 01:16:16,finalizado
158,1,2,veterinaria,filosofia,22.39,Comida,Tiramisú,2023-01-22 13:05:59,2023-01-22 15:40:44,activo
159,1,2,economia,biociencias,5.01,Comida,Ensalada de frutas,2023-02-07 17:50:08,2023-02-07 17:50:08,activo
160,1,2,veterinaria,psicologia,0.0,Biblioteca,Libro,2023-10-30 22:38:46,2023-10-30 23:34:53,activo
161,1,2,economia,veterinaria,5.55,Comida,Burritos,2023-11-23 02:59:23,2023-11-23 04:38:45,finalizado
162,1,2,derecho,doctorado,16.93,Comida,Pizza 4 quesos,2023-02-13 18:27:03,2023-02-13 20:23:59,finalizado
163,1,2,traduccion,ingenieria,0.0,Biblioteca,Título de libro,2023-01-18 11:51:50,2023-01-18 12:13:05,finalizado
164,1,2,medicina,doctorado,0.0,Biblioteca,Artículo académico,2023-09-08 00:30:04,2023-09-08 01:58:17,finalizado
165,1,2,ciencias,doctorado,10.34,Comida,Ensalada de frutas,2023-03-30 06:47:06,2023-03-30 07:14:41,activo
166,1,2,comunicacion,ciencias,5.86,Comida,Ramen,2023-08-03 13:52:25,2023-08-03 14:47:16,espera
167,1,2,filosofia,medicina,0.0,Biblioteca,Enciclopedia,2023-01-31 14:50:43,2023-01-31 15:24:05,finalizado
168,1,2,economia,derecho,9.84,Comida,Pizza 4 quesos,2023-07-21 22:12:01,2023-07-21 23:16:31,finalizado
169,1,2,traduccion,comunicacion,12.08,Comida,Ensalada de frutas,2023-07-17 12:30:39,2023-07-17 15:43:44,finalizado
170,1,2,filosofia,comunicacion,23.12,Comida,Pizza 4 quesos,2023-01-27 14:39:10,2023-01-27 14:47:45,activo
171,1,2,ciencias,derecho,0.0,Biblioteca,Revista,2023-07-18 22:30:09,2023-07-19 00:20:25,activo
172,1,2,psicologia,derecho,4.48,Tienda,Impresora,2023-07-23 21:45:09,2023-07-24 00:27:34,finalizado
173,1,2,economia,veterinaria,0.0,Biblioteca,Artículo académico,2023-09-29 06:05:15,2023-09-29 06:44:06,activo
174,1,2,ingenieria,traduccion,18.24,Comida,Hot dog,2023-11-22 05:01:14,2023-11-22 05:07:12,finalizado
175,1,2,ingenieria,ciencias,9.45,Comida,Ceviche,2023-03-25 06:08:35,2023-03-25 10:06:36,finalizado
176,1,2,filosofia,derecho,4.09,Tienda,Papel,2023-03-14 20:15:42,2023-03-15 10:48:09,finalizado
177,1,2,doctorado,economia,0.0,Biblioteca,Guía,2023-09-10 03:44:28,2023-09-10 04:47:35,finalizado
178,1,2,economia,biociencias,15.72,Comida,Ensalada de frutas,2023-06-15 08:02:22,2023-06-15 08:51:41,finalizado
179,1,2,economia,medicina,9.45,Comida,Poke bowl,2023-02-16 03:40:54,2023-02-16 04:18:39,activo
180,1,2,ciencias politicas,medicina,0.0,Biblioteca,Revista,2023-08-16 23:34:49,2023-08-17 02:19:59,finalizado
181,1,2,traduccion,doctorado,13.61,Comida,Sándwich de pollo,2023-03-23 09:11:10,2023-03-23 09:11:10,finalizado
182,1,2,ciencias,ciencias,20.22,Comida,Paella,2023-07-01 12:47:46,2023-07-01 13:36:24,espera
183,1,2,biociencias,traduccion,19.26,Comida,Pollo al curry,2023-08-31 01:31:46,2023-08-31 03:53:30,finalizado
184,1,2,ciencias politicas,doctorado,0.0,Biblioteca,Enciclopedia,2023-08-23 09:19:34,2023-08-23 10:07:58,activo
185,1,2,ciencias,psicologia,7.06,Comida,Calzone,2023-06-16 20:34:58,2023-06-16 22:31:11,finalizado
186,1,2,ingenieria,ciencias politicas,13.71,Comida,Fish and chips,2023-03-20 07:02:46,2023-03-20 07:12:58,activo
187,1,2,medicina,traduccion,0.0,Biblioteca,Libro,2023-04-28 20:17:10,2023-04-28 20:27:56,finalizado
188,1,2,biociencias,doctorado,0.0,Biblioteca,Artículo académico,2023-02-01 23:14:57,2023-02-02 04:50:03,finalizado
189,1,2,ingenieria,ciencias politicas,0.0,Biblioteca,Artículo académico,2023-02-22 02:13:48,2023-02-22 02:29:28,finalizado
190,1,2,derecho,economia,24.44,Comida,Fish and chips,2023-05-09 20:17:03,2023-05-09 20:17:03,finalizado
191,1,2,ingenieria,ciencias,5.1,Comida,Paella,2023-08-13 00:50:56,2023-08-13 01:37:48,finalizado
192,1,2,ciencias,ciencias,22.39,Comida,Burritos,2023-05-08 22:01:36,2023-05-08 22:01:36,activo
193,1,2,derecho,ingenieria,15.18,Comida,Pollo al curry,2023-01-01 05:37:48,2023-01-01 08:42:30,finalizado
194,1,2,ciencias,ciencias politicas,1.85,Tienda,Impresora,2023-03-11 09:36:22,2023-03-11 11:11:58,finalizado
195,1,2,biociencias,economia,0.0,Biblioteca,Libro,2023-09-30 18:16:59,2023-09-30 21:45:26,finalizado
196,1,2,medicina,medicina,16.99,Comida,Albóndigas,2023-10-30 13:51:46,2023-10-30 13:51:46,finalizado
197,1,2,derecho,economia,0.0,Biblioteca,Artículo académico,2023-10-16 19:56:59,2023-10-16 21:04:17,espera
198,1,2,economia,doctorado,0.0,Biblioteca,Título de libro,2023-06-29 12:46:32,2023-06-29 17:14:22,finalizado
199,1,2,ciencias,ciencias,9.97,Comida,Hamburguesa,2023-02-05 06:53:51,2023-02-05 07:18:50,activo
200,1,2,traduccion,ciencias,0.0,Biblioteca,Revista,2023-07-23 13:31:20,2023-07-23 14:20:14,finalizado
201,1,2,medicina,filosofia,0.0,Biblioteca,Título de libro,2023-10-30 11:52:15,2023-10-30 14:23:08,finalizado
202,1,2,psicologia,biociencias,10.43,Comida,Pizza 4 quesos,2023-08-01 17:09:19,2023-08-01 17:23:05,finalizado
203,1,2,filosofia,doctorado,8.44,Comida,Pasta carbonara,2023-06-15 15:42:23,2023-06-15 15:42:23,finalizado
204,1,2,ciencias politicas,psicologia,18.99,Comida,Sopa de miso,2023-01-22 17:40:05,2023-01-22 18:18:57,activo
205,1,2,biociencias,ciencias,9.62,Comida,Poke bowl,2023-05-20 20:53:38,2023-05-20 22:55:57,finalizado
206,1,2,ciencias politicas,psicologia,18.69,Comida,Burritos,2023-11-10 04:37:08,2023-11-10 05:03:08,finalizado
207,1,2,psicologia,veterinaria,19.97,Comida,Tarta de manzana,2023-03-11 03:17:52,2023-03-11 06:13:41,finalizado
208,1,2,doctorado,economia,23.7,Comida,Ramen,2023-04-19 14:23:54,2023-04-19 15:39:22,activo
209,1,2,filosofia,ingenieria,13.71,Comida,Bagel,2023-10-09 01:35:47,2023-10-09 01:52:04,activo
210,1,2,doctorado,ciencias politicas,23.08,Comida,Paella,2023-06-11 06:26:32,2023-06-11 08:31:36,activo
211,1,2,ingenieria,biociencias,5.34,Comida,Pizza 4 quesos,2023-09-13 12:44:13,2023-09-13 13:07:30,finalizado
212,1,2,biociencias,derecho,0.0,Biblioteca,Título de libro,2023-04-23 01:36:38,2023-04-23 08:04:17,activo
213,1,2,filosofia,doctorado,0.0,Biblioteca,Título de libro,2023-04-24 14:28:54,2023-04-24 18:20:03,finalizado
214,1,2,veterinaria,derecho,17.35,Comida,Albóndigas,2023-06-27 00:00:23,2023-06-27 00:00:23,finalizado
215,1,2,economia,medicina,13.68,Comida,Chili con carne,2023-02-09 14:34:12,2023-02-09 14:34:12,finalizado
216,1,2,derecho,medicina,21.12,Comida,Fish and chips,2023-04-22 02:43:30,2023-04-22 02:43:30,activo
217,1,2,medicina,derecho,11.38,Comida,Wrap de pollo,2023-04-03 07:10:35,2023-04-03 07:52:16,activo
218,1,2,ciencias,derecho,19.94,Comida,Ceviche,2023-10-06 10:05:01,2023-10-06 10:14:16,finalizado
219,1,2,veterinaria,doctorado,9.63,Tienda,Pinturas al óleo,2023-05-11 09:13:47,2023-05-11 10:29:50,finalizado
220,1,2,doctorado,doctorado,20.46,Comida,Crepes,2023-04-27 11:47:04,2023-04-27 11:47:04,finalizado
221,1,2,medicina,psicologia,0.0,Biblioteca,Enciclopedia,2023-03-14 16:38:52,2023-03-14 18:09:57,activo
222,1,2,veterinaria,ciencias,7.55,Comida,Hamburguesa,2023-05-25 20:14:52,2023-05-25 20:56:56,finalizado
